WOA_measurement_Species_Plant_Leaf	Rownames	Measurement	Family	Species	Species_short	Gender	Plant	GF	VPL	LL	LW	LA	LV	LLSH	SHL	CSW	CH	MEX	ML	MH	MW	MA	MTC	CS	CL	CW	CA	CV	MV	LVTMV	LVTMVP	LDMC	SLA	DSLM	FSLM	VPL-W	C-W	FLM-W	DLM-W	FSLM-W	DSLM-W	FWPM-W	DWPM-W	FSM-W	DSM-W	BL-W	BSP-W	LDMC-W	CL-C	CW-C	CH-C
WOA_microscopy_Bryum.sp._Plant3_Leaf1	Bryum sp._L7	microscopy	Bryaceae	Bryum sp.	Bryum sp.	none	Plant 3	apocarp	17.46	3309.188	955.758	2374807.479	39139202.061			1126.028	16.481	TRUE	3309.188	50.236	99.888	3941.107224	11.27290565	hexagonal	46.835	17.212	806.114	13285.567	4347288.244	9.003	11.107	300.444	7.13040256234317	0.017	0.051																
WOA_microscopy_Bryum.sp._Plant3_Leaf2	Bryum sp._L8	microscopy	Bryaceae	Bryum sp.	Bryum sp.	none	Plant 3	apocarp	17.46	3133.884	1125.243	2651582.366	43700728.974			1126.028	16.481	TRUE	3133.884	50.236	99.888	3941.107224	11.27290565	hexagonal	61.217	20.745	1269.933	20929.769	4116990.957	10.615	9.421	300.444	6.38612382947690	0.017	0.051																
WOA_microscopy_Bryum.sp._Plant3_Leaf3	Bryum sp._L9	microscopy	Bryaceae	Bryum sp.	Bryum sp.	none	Plant 3	apocarp	17.46	2758.487	1071.695	2334222.974	38470328.834			1126.028	16.481	TRUE	2758.487	50.236	99.888	3941.107224	11.27290565	hexagonal	52.205	20.839	1087.890	17929.508	3623831.015	10.616	9.420	300.444	7.25437694768115	0.017	0.051																
WOA_microscopy_Homalothecium.lutescens_Plant1_Leaf1	H. lutescens_L1	microscopy	Brachytheciaceae	Homalothecium lutescens	H. lutescens	none	Plant 1	pleurocarp	40.82	2643.994	493.431	1228915.373	10133636.166			1119.368	8.246	FALSE						prosenchymatic	49.116	4.963	243.779	2010.202				717.941	3.97821444527482	0.005	0.007																
WOA_microscopy_Homalothecium.lutescens_Plant1_Leaf2	H. lutescens_L2	microscopy	Brachytheciaceae	Homalothecium lutescens	H. lutescens	none	Plant 1	pleurocarp	40.82	2784.838	640.586	1346838.060	11106026.643			1119.368	8.246	FALSE						prosenchymatic	42.592	4.572	194.731	1605.749				717.941	3.62990105053082	0.005	0.007																
WOA_microscopy_Homalothecium.lutescens_Plant1_Leaf3	H. lutescens_L3	microscopy	Brachytheciaceae	Homalothecium lutescens	H. lutescens	none	Plant 1	pleurocarp	40.82	2901.164	578.974	1283133.500	10580718.841			1119.368	8.246	FALSE						prosenchymatic	48.153	4.798	231.054	1905.272				717.941	3.81011709918640	0.005	0.007																
WOA_microscopy_Homalothecium.lutescens_Plant2_Leaf1	H. lutescens_L4	microscopy	Brachytheciaceae	Homalothecium lutescens	H. lutescens	none	Plant 2	pleurocarp	39.01	2342.370	534.336	1063189.802	8767063.107			1119.368	8.246	FALSE						prosenchymatic	40.892	5.62	229.827	1895.151				717.941	4.59832184215109	0.005	0.007																
WOA_microscopy_Homalothecium.lutescens_Plant2_Leaf2	H. lutescens_L5	microscopy	Brachytheciaceae	Homalothecium lutescens	H. lutescens	none	Plant 2	pleurocarp	39.01	2386.776	459.168	1056955.216	8715652.711			1119.368	8.246	FALSE						prosenchymatic	42.672	4.969	212.021	1748.328				717.941	4.62544563372389	0.005	0.007																
WOA_microscopy_Homalothecium.lutescens_Plant2_Leaf3	H. lutescens_L6	microscopy	Brachytheciaceae	Homalothecium lutescens	H. lutescens	none	Plant 2	pleurocarp	39.01	2471.486	598.391	1191255.688	9823094.403			1119.368	8.246	FALSE						prosenchymatic	52.863	5.019	265.319	2187.824				717.941	4.10397947152458	0.005	0.007																
WOA_microscopy_Homalothecium.lutescens_Plant3_Leaf1	H. lutescens_L7	microscopy	Brachytheciaceae	Homalothecium lutescens	H. lutescens	none	Plant 3	pleurocarp	37.84	1862.229	413.039	685326.468	5651202.055			1119.368	8.246	FALSE						prosenchymatic	50.873	5.034	256.093	2111.743				717.941	7.13366419825608	0.005	0.007																
WOA_microscopy_Homalothecium.lutescens_Plant3_Leaf2	H. lutescens_L8	microscopy	Brachytheciaceae	Homalothecium lutescens	H. lutescens	none	Plant 3	pleurocarp	37.84	1818.897	440.160	659206.319	5435815.306			1119.368	8.246	FALSE						prosenchymatic	48.111	5.815	279.749	2306.814				717.941	7.41632588762986	0.005	0.007																
WOA_microscopy_Homalothecium.lutescens_Plant3_Leaf3	H. lutescens_L9	microscopy	Brachytheciaceae	Homalothecium lutescens	H. lutescens	none	Plant 3	pleurocarp	37.84	2616.240	590.897	1328269.795	10952912.730			1119.368	8.246	FALSE						prosenchymatic	45.951	5.184	238.196	1964.167				717.941	3.68064447997847	0.005	0.007																
WOA_microscopy_Brachythecium.rutabulum_Plant1_Leaf1	B. rutabulum_L1	microscopy	Brachytheciaceae	Brachythecium rutabulum	B. rutabulum	none	Plant 1	pleurocarp	27.69	2427.606	1231.123	1899610.704	56957927.349			2586.474	29.984	TRUE	1452.548	74.609	117.142	6864.260158	22.07981766	prosenchymatic	97.108	7.215	700.637	21007.889	3323555.788	17.138	5.835	530.621	2.13076239205012	0.004	0.008																
WOA_microscopy_Brachythecium.rutabulum_Plant1_Leaf2	B. rutabulum_L2	microscopy	Brachytheciaceae	Brachythecium rutabulum	B. rutabulum	none	Plant 1	pleurocarp	27.69	2561.626	774.737	1318480.859	39533330.076			2586.474	29.984	TRUE	1391.131	74.609	117.142	6864.260158	22.07981766	prosenchymatic	72.218	6.817	492.284	14760.636	3183028.366	12.420	8.052	530.621	3.06991111777607	0.004	0.008																
WOA_microscopy_Brachythecium.rutabulum_Plant1_Leaf3	B. rutabulum_L3	microscopy	Brachytheciaceae	Brachythecium rutabulum	B. rutabulum	none	Plant 1	pleurocarp	27.69	2518.315	964.658	1801847.68	54026600.837			2586.474	29.984	TRUE	1700.378	74.609	117.142	6864.260158	22.07981766	prosenchymatic	89.627	7.832	701.929	21046.633	3890612.319	13.886	7.201	530.621	2.24637137342211	0.004	0.008																
WOA_microscopy_Brachythecium.rutabulum_Plant2_Leaf1	B. rutabulum_L4	microscopy	Brachytheciaceae	Brachythecium rutabulum	B. rutabulum	none	Plant 2	pleurocarp	22.31	2234.408	810.897	1244024.796	37300839.483			2586.474	29.984	TRUE	1250.52	74.609	117.142	6864.260158	22.07981766	prosenchymatic	82.001	5.706	467.927	14030.321	2861298.204	13.036	7.671	530.621	3.25364820752258	0.004	0.008																
WOA_microscopy_Brachythecium.rutabulum_Plant2_Leaf2	B. rutabulum_L5	microscopy	Brachytheciaceae	Brachythecium rutabulum	B. rutabulum	none	Plant 2	pleurocarp	22.31	2322.172	1067.295	1657113.6	49686894.182			2586.474	29.984	TRUE	1236.63	74.609	117.142	6864.260158	22.07981766	prosenchymatic	87.104	6.25	544.431	16324.223	2829516.680	17.560	5.695	530.621	2.44257185965950	0.004	0.008																
WOA_microscopy_Brachythecium.rutabulum_Plant2_Leaf3	B. rutabulum_L6	microscopy	Brachytheciaceae	Brachythecium rutabulum	B. rutabulum	none	Plant 2	pleurocarp	22.31	2269.855	994.492	1583536.164	47480748.341			2586.474	29.984	TRUE	1257.864	74.609	117.142	6864.260158	22.07981766	prosenchymatic	88.887	5.447	484.167	14517.278	2878101.913	16.497	6.062	530.621	2.55606353655656	0.004	0.008																
WOA_microscopy_Brachythecium.rutabulum_Plant3_Leaf1	B. rutabulum_L7	microscopy	Brachytheciaceae	Brachythecium rutabulum	B. rutabulum	none	Plant 3	pleurocarp	17.51	3058.145	1249.252	2916890.785	87460053.297			2586.474	29.984	TRUE	1783.183	74.609	117.142	6864.260158	22.07981766	prosenchymatic	87.538	6.569	575.035	17241.847	4080077.340	21.436	4.665	530.621	1.38764847433911	0.004	0.008																
WOA_microscopy_Brachythecium.rutabulum_Plant3_Leaf2	B. rutabulum_L8	microscopy	Brachytheciaceae	Brachythecium rutabulum	B. rutabulum	none	Plant 3	pleurocarp	17.51	3018.410	1388.479	3127465.104	93773913.678			2586.474	29.984	TRUE	1847.293	74.609	117.142	6864.260158	22.07981766	prosenchymatic	79.837	7.714	615.860	18465.948	4226766.580	22.186	4.507	530.621	1.29421717365996	0.004	0.008																
WOA_microscopy_Brachythecium.rutabulum_Plant3_Leaf3	B. rutabulum_L9	microscopy	Brachytheciaceae	Brachythecium rutabulum	B. rutabulum	none	Plant 3	pleurocarp	17.51	2982.011	899.685	2049941.215	61465437.391			2586.474	29.984	TRUE	1721.076	74.609	117.142	6864.260158	22.07981766	prosenchymatic	84.053	7.465	627.458	18813.705	3937971.138	15.608	6.407	530.621	1.97450493604474	0.004	0.008																
WOA_microscopy_Rhytidiadelphus.squarrosus_Plant1_Leaf1	R. squarrosus_L1	microscopy	Hylocomiaceae	Rhytidiadelphus squarrosus	R. squarrosus	none	Plant 1	pleurocarp	30.32	2964.200	1032.430	1797818.992	14824815.408			1119.368	8.246	FALSE						prosenchymatic	51.645	6.039	311.886	2571.813				672.841	7.23098379639323	0.013	0.019																
WOA_microscopy_Rhytidiadelphus.squarrosus_Plant1_Leaf2	R. squarrosus_L2	microscopy	Hylocomiaceae	Rhytidiadelphus squarrosus	R. squarrosus	none	Plant 1	pleurocarp	30.32	2691.865	863.332	1497083.491	12344950.467			1119.368	8.246	FALSE						prosenchymatic	56.363	5.478	308.758	2546.021				672.841	8.68355043533106	0.013	0.019																
WOA_microscopy_Rhytidiadelphus.squarrosus_Plant1_Leaf3	R. squarrosus_L3	microscopy	Hylocomiaceae	Rhytidiadelphus squarrosus	R. squarrosus	none	Plant 1	pleurocarp	30.32	3192.119	1207.390	2346206.627	19346819.846			1119.368	8.246	FALSE						prosenchymatic	60.966	6.425	391.725	3230.162				672.841	5.54085895521597	0.013	0.019																
WOA_microscopy_Rhytidiadelphus.squarrosus_Plant2_Leaf1	R. squarrosus_L4	microscopy	Hylocomiaceae	Rhytidiadelphus squarrosus	R. squarrosus	none	Plant 2	pleurocarp	45.24	3604.749	939.565	2336929.499	19270320.649			1119.368	8.246	FALSE						prosenchymatic	69.299	6.158	426.720	3518.734				672.841	5.56285502218311	0.013	0.019																
WOA_microscopy_Rhytidiadelphus.squarrosus_Plant2_Leaf2	R. squarrosus_L5	microscopy	Hylocomiaceae	Rhytidiadelphus squarrosus	R. squarrosus	none	Plant 2	pleurocarp	45.24	3470.246	1411.545	2614560.839	21559668.678			1119.368	8.246	FALSE						prosenchymatic	63.877	5.676	362.564	2989.702				672.841	4.97215433126894	0.013	0.019																
