WOA_measurement_Species_Plant_Leaf	Rownames	Measurement	Family	Species	Species_short	Gender	Plant	GF	VPL	LL	LW	LA	LV	LLSH	SHL	CSW	CH	MEX	ML	MH	MW	MA	MTC	CS	CL	CW	CA	CV	MV	LVTMV	LVTMVP	LDMC	SLA	DSLM	FSLM	VPL-W	C-W	FLM-W	DLM-W	FSLM-W	DSLM-W	FWPM-W	DWPM-W	FSM-W	DSM-W	BL-W	BSP-W	LDMC-W	CL-C	CW-C	CH-C
WOA_microscopy_Plagiomnium.undulatum_Plant3_f_Leaf1_Cell_Average	P. undulatum_f_c28	cell	Mniaceae	Plagiomnium undulatum (female)	P. undulatum (f)	female	Plant 3	apocarp																square																									30.702	14.933	28.519
WOA_microscopy_Plagiomnium.undulatum_Plant3_f_Leaf2_Cell1	P. undulatum_f_c29	cell	Mniaceae	Plagiomnium undulatum (female)	P. undulatum (f)	female	Plant 3	apocarp																square																									29.040	10.272	30.102
WOA_microscopy_Plagiomnium.undulatum_Plant3_f_Leaf2_Cell2	P. undulatum_f_c30	cell	Mniaceae	Plagiomnium undulatum (female)	P. undulatum (f)	female	Plant 3	apocarp																square																									27.433	14.628	26.468
WOA_microscopy_Plagiomnium.undulatum_Plant3_f_Leaf2_Cell3	P. undulatum_f_c31	cell	Mniaceae	Plagiomnium undulatum (female)	P. undulatum (f)	female	Plant 3	apocarp																square																									25.493	13.058	28.986
WOA_microscopy_Plagiomnium.undulatum_Plant3_f_Leaf2_Cell_Average	P. undulatum_f_c32	cell	Mniaceae	Plagiomnium undulatum (female)	P. undulatum (f)	female	Plant 3	apocarp																square																									27.322	12.653	28.519
WOA_microscopy_Plagiomnium.undulatum_Plant3_f_Leaf3_Cell1	P. undulatum_f_c33	cell	Mniaceae	Plagiomnium undulatum (female)	P. undulatum (f)	female	Plant 3	apocarp																square																									33.683	21.452	30.102
WOA_microscopy_Plagiomnium.undulatum_Plant3_f_Leaf3_Cell2	P. undulatum_f_c34	cell	Mniaceae	Plagiomnium undulatum (female)	P. undulatum (f)	female	Plant 3	apocarp																square																									29.486	15.734	26.468
WOA_microscopy_Plagiomnium.undulatum_Plant3_f_Leaf3_Cell3	P. undulatum_f_c35	cell	Mniaceae	Plagiomnium undulatum (female)	P. undulatum (f)	female	Plant 3	apocarp																square																									29.480	18.058	28.986
WOA_microscopy_Plagiomnium.undulatum_Plant3_f_Leaf3_Cell_Average	P. undulatum_f_c36	cell	Mniaceae	Plagiomnium undulatum (female)	P. undulatum (f)	female	Plant 3	apocarp																square																									30.883	18.415	28.519
WOA_microscopy_Plagiomnium.undulatum_Plant1_m_Leaf1_Cell1	P. undulatum_m_c1	cell	Mniaceae	Plagiomnium undulatum (male)	P. undulatum (m)	male	Plant 1	apocarp																square																									32.054	17.570	38.727
WOA_microscopy_Plagiomnium.undulatum_Plant1_m_Leaf1_Cell2	P. undulatum_m_c2	cell	Mniaceae	Plagiomnium undulatum (male)	P. undulatum (m)	male	Plant 1	apocarp																square																									28.553	13.704	39.225
WOA_microscopy_Plagiomnium.undulatum_Plant1_m_Leaf1_Cell3	P. undulatum_m_c3	cell	Mniaceae	Plagiomnium undulatum (male)	P. undulatum (m)	male	Plant 1	apocarp																square																									38.904	23.383	38.223
WOA_microscopy_Plagiomnium.undulatum_Plant1_m_Leaf1_Cell_Average	P. undulatum_m_c4	cell	Mniaceae	Plagiomnium undulatum (male)	P. undulatum (m)	male	Plant 1	apocarp																square																									33.170	18.219	38.725
WOA_microscopy_Plagiomnium.undulatum_Plant1_m_Leaf2_Cell1	P. undulatum_m_c5	cell	Mniaceae	Plagiomnium undulatum (male)	P. undulatum (m)	male	Plant 1	apocarp																square																									34.327	19.048	38.727
WOA_microscopy_Plagiomnium.undulatum_Plant1_m_Leaf2_Cell2	P. undulatum_m_c6	cell	Mniaceae	Plagiomnium undulatum (male)	P. undulatum (m)	male	Plant 1	apocarp																square																									40.816	14.683	39.225
WOA_microscopy_Plagiomnium.undulatum_Plant1_m_Leaf2_Cell3	P. undulatum_m_c7	cell	Mniaceae	Plagiomnium undulatum (male)	P. undulatum (m)	male	Plant 1	apocarp																square																									26.811	17.719	38.223
WOA_microscopy_Plagiomnium.undulatum_Plant1_m_Leaf2_Cell_Average	P. undulatum_m_c8	cell	Mniaceae	Plagiomnium undulatum (male)	P. undulatum (m)	male	Plant 1	apocarp																square																									33.985	17.150	38.725
WOA_microscopy_Plagiomnium.undulatum_Plant1_m_Leaf3_Cell1	P. undulatum_m_c9	cell	Mniaceae	Plagiomnium undulatum (male)	P. undulatum (m)	male	Plant 1	apocarp																square																									26.029	13.599	38.727
WOA_microscopy_Plagiomnium.undulatum_Plant1_m_Leaf3_Cell2	P. undulatum_m_c10	cell	Mniaceae	Plagiomnium undulatum (male)	P. undulatum (m)	male	Plant 1	apocarp																square																									28.790	13.599	39.225
WOA_microscopy_Plagiomnium.undulatum_Plant1_m_Leaf3_Cell3	P. undulatum_m_c11	cell	Mniaceae	Plagiomnium undulatum (male)	P. undulatum (m)	male	Plant 1	apocarp																square																									30.376	20.703	38.223
WOA_microscopy_Plagiomnium.undulatum_Plant1_m_Leaf3_Cell_Average	P. undulatum_m_c12	cell	Mniaceae	Plagiomnium undulatum (male)	P. undulatum (m)	male	Plant 1	apocarp																square																									28.398	15.967	38.725
WOA_microscopy_Plagiomnium.undulatum_Plant2_m_Leaf1_Cell1	P. undulatum_m_c13	cell	Mniaceae	Plagiomnium undulatum (male)	P. undulatum (m)	male	Plant 2	apocarp																square																									26.970	19.283	38.727
WOA_microscopy_Plagiomnium.undulatum_Plant2_m_Leaf1_Cell2	P. undulatum_m_c14	cell	Mniaceae	Plagiomnium undulatum (male)	P. undulatum (m)	male	Plant 2	apocarp																square																									41.883	23.049	39.225
WOA_microscopy_Plagiomnium.undulatum_Plant2_m_Leaf1_Cell3	P. undulatum_m_c15	cell	Mniaceae	Plagiomnium undulatum (male)	P. undulatum (m)	male	Plant 2	apocarp																square																									41.751	16.517	38.223
WOA_microscopy_Plagiomnium.undulatum_Plant2_m_Leaf1_Cell_Average	P. undulatum_m_c16	cell	Mniaceae	Plagiomnium undulatum (male)	P. undulatum (m)	male	Plant 2	apocarp																square																									36.868	19.616	38.725
WOA_microscopy_Plagiomnium.undulatum_Plant2_m_Leaf2_Cell1	P. undulatum_m_c17	cell	Mniaceae	Plagiomnium undulatum (male)	P. undulatum (m)	male	Plant 2	apocarp																square																									30.098	19.242	38.727
WOA_microscopy_Plagiomnium.undulatum_Plant2_m_Leaf2_Cell2	P. undulatum_m_c18	cell	Mniaceae	Plagiomnium undulatum (male)	P. undulatum (m)	male	Plant 2	apocarp																square																									24.495	12.339	39.225
WOA_microscopy_Plagiomnium.undulatum_Plant2_m_Leaf2_Cell3	P. undulatum_m_c19	cell	Mniaceae	Plagiomnium undulatum (male)	P. undulatum (m)	male	Plant 2	apocarp																square																									29.918	13.868	38.223
WOA_microscopy_Plagiomnium.undulatum_Plant2_m_Leaf2_Cell_Average	P. undulatum_m_c20	cell	Mniaceae	Plagiomnium undulatum (male)	P. undulatum (m)	male	Plant 2	apocarp																square																									28.170	15.150	38.725
WOA_microscopy_Plagiomnium.undulatum_Plant2_m_Leaf3_Cell1	P. undulatum_m_c21	cell	Mniaceae	Plagiomnium undulatum (male)	P. undulatum (m)	male	Plant 2	apocarp																square																									27.248	13.973	38.727
WOA_microscopy_Plagiomnium.undulatum_Plant2_m_Leaf3_Cell2	P. undulatum_m_c22	cell	Mniaceae	Plagiomnium undulatum (male)	P. undulatum (m)	male	Plant 2	apocarp																square																									23.998	11.892	39.225
WOA_microscopy_Plagiomnium.undulatum_Plant2_m_Leaf3_Cell3	P. undulatum_m_c23	cell	Mniaceae	Plagiomnium undulatum (male)	P. undulatum (m)	male	Plant 2	apocarp																square																									25.205	15.914	38.223
WOA_microscopy_Plagiomnium.undulatum_Plant2_m_Leaf3_Cell_Average	P. undulatum_m_c24	cell	Mniaceae	Plagiomnium undulatum (male)	P. undulatum (m)	male	Plant 2	apocarp																square																									25.484	13.926	38.725
WOA_microscopy_Plagiomnium.undulatum_Plant3_m_Leaf1_Cell1	P. undulatum_m_c25	cell	Mniaceae	Plagiomnium undulatum (male)	P. undulatum (m)	male	Plant 3	apocarp																square																									34.046	19.091	38.727
WOA_microscopy_Plagiomnium.undulatum_Plant3_m_Leaf1_Cell2	P. undulatum_m_c26	cell	Mniaceae	Plagiomnium undulatum (male)	P. undulatum (m)	male	Plant 3	apocarp																square																									29.844	16.034	39.225
WOA_microscopy_Plagiomnium.undulatum_Plant3_m_Leaf1_Cell3	P. undulatum_m_c27	cell	Mniaceae	Plagiomnium undulatum (male)	P. undulatum (m)	male	Plant 3	apocarp																square																									25.273	17.253	38.223
WOA_microscopy_Plagiomnium.undulatum_Plant3_m_Leaf1_Cell_Average	P. undulatum_m_c28	cell	Mniaceae	Plagiomnium undulatum (male)	P. undulatum (m)	male	Plant 3	apocarp																square																									29.721	17.459	38.725
WOA_microscopy_Plagiomnium.undulatum_Plant3_m_Leaf2_Cell1	P. undulatum_m_c29	cell	Mniaceae	Plagiomnium undulatum (male)	P. undulatum (m)	male	Plant 3	apocarp																square																									32.268	16.160	38.727
WOA_microscopy_Plagiomnium.undulatum_Plant3_m_Leaf2_Cell2	P. undulatum_m_c30	cell	Mniaceae	Plagiomnium undulatum (male)	P. undulatum (m)	male	Plant 3	apocarp																square																									35.800	25.443	39.225
WOA_microscopy_Plagiomnium.undulatum_Plant3_m_Leaf2_Cell3	P. undulatum_m_c31	cell	Mniaceae	Plagiomnium undulatum (male)	P. undulatum (m)	male	Plant 3	apocarp																square																									27.770	13.983	38.223
WOA_microscopy_Plagiomnium.undulatum_Plant3_m_Leaf2_Cell_Average	P. undulatum_m_c32	cell	Mniaceae	Plagiomnium undulatum (male)	P. undulatum (m)	male	Plant 3	apocarp																square																									31.946	18.529	38.725
WOA_microscopy_Plagiomnium.undulatum_Plant3_m_Leaf3_Cell1	P. undulatum_m_c33	cell	Mniaceae	Plagiomnium undulatum (male)	P. undulatum (m)	male	Plant 3	apocarp																square																									40.510	21.400	38.727
WOA_microscopy_Plagiomnium.undulatum_Plant3_m_Leaf3_Cell2	P. undulatum_m_c34	cell	Mniaceae	Plagiomnium undulatum (male)	P. undulatum (m)	male	Plant 3	apocarp																square																									29.645	19.236	39.225
WOA_microscopy_Plagiomnium.undulatum_Plant3_m_Leaf3_Cell3	P. undulatum_m_c35	cell	Mniaceae	Plagiomnium undulatum (male)	P. undulatum (m)	male	Plant 3	apocarp																square																									24.955	14.294	38.223
WOA_microscopy_Plagiomnium.undulatum_Plant3_m_Leaf3_Cell_Average	P. undulatum_m_c36	cell	Mniaceae	Plagiomnium undulatum (male)	P. undulatum (m)	male	Plant 3	apocarp																square																									31.703	18.310	38.725
WOA_microscopy_Bryum.sp._Plant1_Leaf1_Cell1	Bryum sp._c1	cell	Bryaceae	Bryum sp.	Bryum sp.	none	Plant 1	apocarp																hexagonal																									60.579	22.573	18.658
WOA_microscopy_Bryum.sp._Plant1_Leaf1_Cell2	Bryum sp._c2	cell	Bryaceae	Bryum sp.	Bryum sp.	none	Plant 1	apocarp																hexagonal																									67.613	22.150	17.414
WOA_microscopy_Bryum.sp._Plant1_Leaf1_Cell3	Bryum sp._c3	cell	Bryaceae	Bryum sp.	Bryum sp.	none	Plant 1	apocarp																hexagonal																									42.526	17.647	13.371
WOA_microscopy_Bryum.sp._Plant1_Leaf1_Cell_Average	Bryum sp._c4	cell	Bryaceae	Bryum sp.	Bryum sp.	none	Plant 1	apocarp																hexagonal																									56.906	20.790	16.481
WOA_microscopy_Bryum.sp._Plant1_Leaf2_Cell1	Bryum sp._c5	cell	Bryaceae	Bryum sp.	Bryum sp.	none	Plant 1	apocarp																hexagonal																									54.206	21.098	18.658
WOA_microscopy_Bryum.sp._Plant1_Leaf2_Cell2	Bryum sp._c6	cell	Bryaceae	Bryum sp.	Bryum sp.	none	Plant 1	apocarp																hexagonal																									35.640	24.258	17.414
WOA_microscopy_Bryum.sp._Plant1_Leaf2_Cell3	Bryum sp._c7	cell	Bryaceae	Bryum sp.	Bryum sp.	none	Plant 1	apocarp																hexagonal																									36.847	24.355	13.371
WOA_microscopy_Bryum.sp._Plant1_Leaf2_Cell_Average	Bryum sp._c8	cell	Bryaceae	Bryum sp.	Bryum sp.	none	Plant 1	apocarp																hexagonal																									42.231	23.237	16.481
WOA_microscopy_Bryum.sp._Plant1_Leaf3_Cell1	Bryum sp._c9	cell	Bryaceae	Bryum sp.	Bryum sp.	none	Plant 1	apocarp																hexagonal																									58.283	31.290	18.658
WOA_microscopy_Bryum.sp._Plant1_Leaf3_Cell2	Bryum sp._c10	cell	Bryaceae	Bryum sp.	Bryum sp.	none	Plant 1	apocarp																hexagonal																									54.061	20.726	17.414
WOA_microscopy_Bryum.sp._Plant1_Leaf3_Cell3	Bryum sp._c11	cell	Bryaceae	Bryum sp.	Bryum sp.	none	Plant 1	apocarp																hexagonal																									55.569	22.545	13.371
WOA_microscopy_Bryum.sp._Plant1_Leaf3_Cell_Average	Bryum sp._c12	cell	Bryaceae	Bryum sp.	Bryum sp.	none	Plant 1	apocarp																hexagonal																									55.971	24.854	16.481
WOA_microscopy_Bryum.sp._Plant2_Leaf1_Cell1	Bryum sp._c13	cell	Bryaceae	Bryum sp.	Bryum sp.	none	Plant 2	apocarp																hexagonal																									79.217	27.446	18.658
WOA_microscopy_Bryum.sp._Plant2_Leaf1_Cell2	Bryum sp._c14	cell	Bryaceae	Bryum sp.	Bryum sp.	none	Plant 2	apocarp																hexagonal																									35.720	19.095	17.414
WOA_microscopy_Bryum.sp._Plant2_Leaf1_Cell3	Bryum sp._c15	cell	Bryaceae	Bryum sp.	Bryum sp.	none	Plant 2	apocarp																hexagonal																									45.589	12.427	13.371
WOA_microscopy_Bryum.sp._Plant2_Leaf1_Cell_Average	Bryum sp._c16	cell	Bryaceae	Bryum sp.	Bryum sp.	none	Plant 2	apocarp																hexagonal																									53.509	19.656	16.481
WOA_microscopy_Bryum.sp._Plant2_Leaf2_Cell1	Bryum sp._c17	cell	Bryaceae	Bryum sp.	Bryum sp.	none	Plant 2	apocarp																hexagonal																									53.519	19.229	18.658
WOA_microscopy_Bryum.sp._Plant2_Leaf2_Cell2	Bryum sp._c18	cell	Bryaceae	Bryum sp.	Bryum sp.	none	Plant 2	apocarp																hexagonal																									41.699	19.835	17.414
WOA_microscopy_Bryum.sp._Plant2_Leaf2_Cell3	Bryum sp._c19	cell	Bryaceae	Bryum sp.	Bryum sp.	none	Plant 2	apocarp																hexagonal																									49.410	18.544	13.371
WOA_microscopy_Bryum.sp._Plant2_Leaf2_Cell_Average	Bryum sp._c20	cell	Bryaceae	Bryum sp.	Bryum sp.	none	Plant 2	apocarp																hexagonal																									48.209	19.203	16.481
WOA_microscopy_Bryum.sp._Plant2_Leaf3_Cell1	Bryum sp._c21	cell	Bryaceae	Bryum sp.	Bryum sp.	none	Plant 2	apocarp																hexagonal																									50.352	30.166	18.658
WOA_microscopy_Bryum.sp._Plant2_Leaf3_Cell2	Bryum sp._c22	cell	Bryaceae	Bryum sp.	Bryum sp.	none	Plant 2	apocarp																hexagonal																									37.235	14.267	17.414
WOA_microscopy_Bryum.sp._Plant2_Leaf3_Cell3	Bryum sp._c23	cell	Bryaceae	Bryum sp.	Bryum sp.	none	Plant 2	apocarp																hexagonal																									41.531	17.808	13.371
WOA_microscopy_Bryum.sp._Plant2_Leaf3_Cell_Average	Bryum sp._c24	cell	Bryaceae	Bryum sp.	Bryum sp.	none	Plant 2	apocarp																hexagonal																									43.039	20.747	16.481
WOA_microscopy_Bryum.sp._Plant3_Leaf1_Cell1	Bryum sp._c25	cell	Bryaceae	Bryum sp.	Bryum sp.	none	Plant 3	apocarp																hexagonal																									45.684	20.236	18.658
WOA_microscopy_Bryum.sp._Plant3_Leaf1_Cell2	Bryum sp._c26	cell	Bryaceae	Bryum sp.	Bryum sp.	none	Plant 3	apocarp																hexagonal																									48.133	16.020	17.414
WOA_microscopy_Bryum.sp._Plant3_Leaf1_Cell3	Bryum sp._c27	cell	Bryaceae	Bryum sp.	Bryum sp.	none	Plant 3	apocarp																hexagonal																									46.689	15.379	13.371
WOA_microscopy_Bryum.sp._Plant3_Leaf1_Cell_Average	Bryum sp._c28	cell	Bryaceae	Bryum sp.	Bryum sp.	none	Plant 3	apocarp																hexagonal																									46.835	17.212	16.481
WOA_microscopy_Bryum.sp._Plant3_Leaf2_Cell1	Bryum sp._c29	cell	Bryaceae	Bryum sp.	Bryum sp.	none	Plant 3	apocarp																hexagonal																									72.007	18.832	18.658
WOA_microscopy_Bryum.sp._Plant3_Leaf2_Cell2	Bryum sp._c30	cell	Bryaceae	Bryum sp.	Bryum sp.	none	Plant 3	apocarp																hexagonal																									52.140	20.218	17.414
WOA_microscopy_Bryum.sp._Plant3_Leaf2_Cell3	Bryum sp._c31	cell	Bryaceae	Bryum sp.	Bryum sp.	none	Plant 3	apocarp																hexagonal																									59.505	23.184	13.371
WOA_microscopy_Bryum.sp._Plant3_Leaf2_Cell_Average	Bryum sp._c32	cell	Bryaceae	Bryum sp.	Bryum sp.	none	Plant 3	apocarp																hexagonal																									61.217	20.745	16.481
WOA_microscopy_Bryum.sp._Plant3_Leaf3_Cell1	Bryum sp._c33	cell	Bryaceae	Bryum sp.	Bryum sp.	none	Plant 3	apocarp																hexagonal																									71.193	25.166	18.658
WOA_microscopy_Bryum.sp._Plant3_Leaf3_Cell2	Bryum sp._c34	cell	Bryaceae	Bryum sp.	Bryum sp.	none	Plant 3	apocarp																hexagonal																									40.551	18.576	17.414
WOA_microscopy_Bryum.sp._Plant3_Leaf3_Cell3	Bryum sp._c35	cell	Bryaceae	Bryum sp.	Bryum sp.	none	Plant 3	apocarp																hexagonal																									44.872	18.774	13.371
WOA_microscopy_Bryum.sp._Plant3_Leaf3_Cell_Average	Bryum sp._c36	cell	Bryaceae	Bryum sp.	Bryum sp.	none	Plant 3	apocarp																hexagonal																									52.205	20.839	16.481
WOA_microscopy_Homalothecium.lutescens_Plant1_Leaf1_Cell1	H. lutescens_c1	cell	Brachytheciaceae	Homalothecium lutescens	H. lutescens	none	Plant 1	pleurocarp																prosenchymatic																									54.581	4.889	7.436
WOA_microscopy_Homalothecium.lutescens_Plant1_Leaf1_Cell2	H. lutescens_c2	cell	Brachytheciaceae	Homalothecium lutescens	H. lutescens	none	Plant 1	pleurocarp																prosenchymatic																									49.485	5.048	7.387
WOA_microscopy_Homalothecium.lutescens_Plant1_Leaf1_Cell3	H. lutescens_c3	cell	Brachytheciaceae	Homalothecium lutescens	H. lutescens	none	Plant 1	pleurocarp																prosenchymatic																									43.282	4.953	7.162
WOA_microscopy_Homalothecium.lutescens_Plant1_Leaf1_Cell_Average	H. lutescens_c4	cell	Brachytheciaceae	Homalothecium lutescens	H. lutescens	none	Plant 1	pleurocarp																prosenchymatic																									49.116	4.963	7.328
WOA_microscopy_Homalothecium.lutescens_Plant1_Leaf2_Cell1	H. lutescens_c5	cell	Brachytheciaceae	Homalothecium lutescens	H. lutescens	none	Plant 1	pleurocarp																prosenchymatic																									44.071	3.395	7.436
WOA_microscopy_Homalothecium.lutescens_Plant1_Leaf2_Cell2	H. lutescens_c6	cell	Brachytheciaceae	Homalothecium lutescens	H. lutescens	none	Plant 1	pleurocarp																prosenchymatic																									51.466	3.754	7.387
WOA_microscopy_Homalothecium.lutescens_Plant1_Leaf2_Cell3	H. lutescens_c7	cell	Brachytheciaceae	Homalothecium lutescens	H. lutescens	none	Plant 1	pleurocarp																prosenchymatic																									32.239	6.567	7.162
WOA_microscopy_Homalothecium.lutescens_Plant1_Leaf2_Cell_Average	H. lutescens_c8	cell	Brachytheciaceae	Homalothecium lutescens	H. lutescens	none	Plant 1	pleurocarp																prosenchymatic																									42.592	4.572	7.328
WOA_microscopy_Homalothecium.lutescens_Plant1_Leaf3_Cell1	H. lutescens_c9	cell	Brachytheciaceae	Homalothecium lutescens	H. lutescens	none	Plant 1	pleurocarp																prosenchymatic																									54.400	5.446	7.436
WOA_microscopy_Homalothecium.lutescens_Plant1_Leaf3_Cell2	H. lutescens_c10	cell	Brachytheciaceae	Homalothecium lutescens	H. lutescens	none	Plant 1	pleurocarp																prosenchymatic																									52.475	5.356	7.387
WOA_microscopy_Homalothecium.lutescens_Plant1_Leaf3_Cell3	H. lutescens_c11	cell	Brachytheciaceae	Homalothecium lutescens	H. lutescens	none	Plant 1	pleurocarp																prosenchymatic																									37.584	3.593	7.162
WOA_microscopy_Homalothecium.lutescens_Plant1_Leaf3_Cell_Average	H. lutescens_c12	cell	Brachytheciaceae	Homalothecium lutescens	H. lutescens	none	Plant 1	pleurocarp																prosenchymatic																									48.153	4.798	7.328
WOA_microscopy_Homalothecium.lutescens_Plant2_Leaf1_Cell1	H. lutescens_c13	cell	Brachytheciaceae	Homalothecium lutescens	H. lutescens	none	Plant 2	pleurocarp																prosenchymatic																									34.609	5.229	7.436
WOA_microscopy_Homalothecium.lutescens_Plant2_Leaf1_Cell2	H. lutescens_c14	cell	Brachytheciaceae	Homalothecium lutescens	H. lutescens	none	Plant 2	pleurocarp																prosenchymatic																									50.018	5.048	7.387
WOA_microscopy_Homalothecium.lutescens_Plant2_Leaf1_Cell3	H. lutescens_c15	cell	Brachytheciaceae	Homalothecium lutescens	H. lutescens	none	Plant 2	pleurocarp																prosenchymatic																									38.049	6.584	7.162
WOA_microscopy_Homalothecium.lutescens_Plant2_Leaf1_Cell_Average	H. lutescens_c16	cell	Brachytheciaceae	Homalothecium lutescens	H. lutescens	none	Plant 2	pleurocarp																prosenchymatic																									40.892	5.620	7.328
WOA_microscopy_Homalothecium.lutescens_Plant2_Leaf2_Cell1	H. lutescens_c17	cell	Brachytheciaceae	Homalothecium lutescens	H. lutescens	none	Plant 2	pleurocarp																prosenchymatic																									46.509	5.229	7.436
WOA_microscopy_Homalothecium.lutescens_Plant2_Leaf2_Cell2	H. lutescens_c18	cell	Brachytheciaceae	Homalothecium lutescens	H. lutescens	none	Plant 2	pleurocarp																prosenchymatic																									45.585	3.881	7.387
WOA_microscopy_Homalothecium.lutescens_Plant2_Leaf2_Cell3	H. lutescens_c19	cell	Brachytheciaceae	Homalothecium lutescens	H. lutescens	none	Plant 2	pleurocarp																prosenchymatic																									35.921	5.796	7.162
WOA_microscopy_Homalothecium.lutescens_Plant2_Leaf2_Cell_Average	H. lutescens_c20	cell	Brachytheciaceae	Homalothecium lutescens	H. lutescens	none	Plant 2	pleurocarp																prosenchymatic																									42.672	4.969	7.328
WOA_microscopy_Homalothecium.lutescens_Plant2_Leaf3_Cell1	H. lutescens_c21	cell	Brachytheciaceae	Homalothecium lutescens	H. lutescens	none	Plant 2	pleurocarp																prosenchymatic																									42.526	5.356	7.436
WOA_microscopy_Homalothecium.lutescens_Plant2_Leaf3_Cell2	H. lutescens_c22	cell	Brachytheciaceae	Homalothecium lutescens	H. lutescens	none	Plant 2	pleurocarp																prosenchymatic																									64.873	4.894	7.387
WOA_microscopy_Homalothecium.lutescens_Plant2_Leaf3_Cell3	H. lutescens_c23	cell	Brachytheciaceae	Homalothecium lutescens	H. lutescens	none	Plant 2	pleurocarp																prosenchymatic																									51.190	4.807	7.162
WOA_microscopy_Homalothecium.lutescens_Plant2_Leaf3_Cell_Average	H. lutescens_c24	cell	Brachytheciaceae	Homalothecium lutescens	H. lutescens	none	Plant 2	pleurocarp																prosenchymatic																									52.863	5.019	7.328
WOA_microscopy_Homalothecium.lutescens_Plant3_Leaf1_Cell1	H. lutescens_c25	cell	Brachytheciaceae	Homalothecium lutescens	H. lutescens	none	Plant 3	pleurocarp																prosenchymatic																									52.344	6.458	7.436
WOA_microscopy_Homalothecium.lutescens_Plant3_Leaf1_Cell2	H. lutescens_c26	cell	Brachytheciaceae	Homalothecium lutescens	H. lutescens	none	Plant 3	pleurocarp																prosenchymatic																									42.946	3.399	7.387
WOA_microscopy_Homalothecium.lutescens_Plant3_Leaf1_Cell3	H. lutescens_c27	cell	Brachytheciaceae	Homalothecium lutescens	H. lutescens	none	Plant 3	pleurocarp																prosenchymatic																									57.328	5.245	7.162
WOA_microscopy_Homalothecium.lutescens_Plant3_Leaf1_Cell_Average	H. lutescens_c28	cell	Brachytheciaceae	Homalothecium lutescens	H. lutescens	none	Plant 3	pleurocarp																prosenchymatic																									50.873	5.034	7.328
WOA_microscopy_Homalothecium.lutescens_Plant3_Leaf2_Cell1	H. lutescens_c29	cell	Brachytheciaceae	Homalothecium lutescens	H. lutescens	none	Plant 3	pleurocarp																prosenchymatic																									37.606	5.271	7.436
WOA_microscopy_Homalothecium.lutescens_Plant3_Leaf2_Cell2	H. lutescens_c30	cell	Brachytheciaceae	Homalothecium lutescens	H. lutescens	none	Plant 3	pleurocarp																prosenchymatic																									55.366	6.749	7.387
WOA_microscopy_Homalothecium.lutescens_Plant3_Leaf2_Cell3	H. lutescens_c31	cell	Brachytheciaceae	Homalothecium lutescens	H. lutescens	none	Plant 3	pleurocarp																prosenchymatic																									51.361	5.424	7.162
WOA_microscopy_Homalothecium.lutescens_Plant3_Leaf2_Cell_Average	H. lutescens_c32	cell	Brachytheciaceae	Homalothecium lutescens	H. lutescens	none	Plant 3	pleurocarp																prosenchymatic																									48.111	5.815	7.328
WOA_microscopy_Homalothecium.lutescens_Plant3_Leaf3_Cell1	H. lutescens_c33	cell	Brachytheciaceae	Homalothecium lutescens	H. lutescens	none	Plant 3	pleurocarp																prosenchymatic																									28.790	4.957	7.436
WOA_microscopy_Homalothecium.lutescens_Plant3_Leaf3_Cell2	H. lutescens_c34	cell	Brachytheciaceae	Homalothecium lutescens	H. lutescens	none	Plant 3	pleurocarp																prosenchymatic																									39.745	5.036	7.387
WOA_microscopy_Homalothecium.lutescens_Plant3_Leaf3_Cell3	H. lutescens_c35	cell	Brachytheciaceae	Homalothecium lutescens	H. lutescens	none	Plant 3	pleurocarp																prosenchymatic																									69.319	5.558	7.162
WOA_microscopy_Homalothecium.lutescens_Plant3_Leaf3_Cell_Average	H. lutescens_c36	cell	Brachytheciaceae	Homalothecium lutescens	H. lutescens	none	Plant 3	pleurocarp																prosenchymatic																									45.951	5.184	7.328
WOA_microscopy_Brachythecium.rutabulum_Plant1_Leaf1_Cell1	B. rutabulum_c1	cell	Brachytheciaceae	Brachythecium rutabulum	B. rutabulum	none	Plant 1	pleurocarp																prosenchymatic																									100.419	6.252	36.610
WOA_microscopy_Brachythecium.rutabulum_Plant1_Leaf1_Cell2	B. rutabulum_c2	cell	Brachytheciaceae	Brachythecium rutabulum	B. rutabulum	none	Plant 1	pleurocarp																prosenchymatic																									94.726	7.001	31.217
WOA_microscopy_Brachythecium.rutabulum_Plant1_Leaf1_Cell3	B. rutabulum_c3	cell	Brachytheciaceae	Brachythecium rutabulum	B. rutabulum	none	Plant 1	pleurocarp																prosenchymatic																									96.18	8.392	22.125
WOA_microscopy_Brachythecium.rutabulum_Plant1_Leaf1_Cell_Average	B. rutabulum_c4	cell	Brachytheciaceae	Brachythecium rutabulum	B. rutabulum	none	Plant 1	pleurocarp																prosenchymatic																									97.108	7.215	29.984
WOA_microscopy_Brachythecium.rutabulum_Plant1_Leaf2_Cell1	B. rutabulum_c5	cell	Brachytheciaceae	Brachythecium rutabulum	B. rutabulum	none	Plant 1	pleurocarp																prosenchymatic																									71.057	6.926	36.610
WOA_microscopy_Brachythecium.rutabulum_Plant1_Leaf2_Cell2	B. rutabulum_c6	cell	Brachytheciaceae	Brachythecium rutabulum	B. rutabulum	none	Plant 1	pleurocarp																prosenchymatic																									76.01	5.462	31.217
